genomeIDs	original_lineage	recombinant_parents	breakpoint_count	case_report_folder
OR209323.1	B.1.NmC7	B.1.NmC7 + B.1.15	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_28_B.1.NmC7_OR209323.1
OR464210.1	B.1.NmC7	B.1.NmC7 + B.1.20	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_28_B.1.NmC7_OR464210.1
OR865763.1	B.1.NmC7	B.1.NmC7 + C.1.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_28_B.1.NmC7_OR865763.1
OQ581853.1	B.1.NmC7	C.1 + B.1.NmC7	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_28_B.1.NmC7_OQ581853.1
OQ581854.1	B.1.NmC7	B.1.NmC7 + B.1.NmC8	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_28_B.1.NmC7_OQ581854.1
PQ451835.1	B.1.NmC7	B.1.NmC7 + B.1.13.NmC3	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_28_B.1.NmC7_PQ451835.1
PQ686933.1	B.1.NmC7	B.1.NmC7 + F.3	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_28_B.1.NmC7_PQ686933.1
OR743494.1	B.1.22	B.1.22 + B.1.2.NmC5 + B.1.22	2BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_35_B.1.22_OR743494.1
OR743495.1	B.1.22	B.1.22 + B.1.2.NmC5 + B.1.22	2BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_35_B.1.22_OR743495.1
PP093697.1	B.1.22	B.1.22 + B.1.2.NmC5 + B.1.22	2BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_35_B.1.22_PP093697.1
PP093699.1	B.1.22	B.1.22 + B.1.2.NmC5 + B.1.22	2BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_35_B.1.22_PP093699.1
PP093705.1	B.1.22	B.1.22 + B.1.2.NmC5 + B.1.22	2BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_35_B.1.22_PP093705.1
PP093719.1	B.1.22	B.1.22 + B.1.2.NmC5 + B.1.22	2BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_35_B.1.22_PP093719.1
PP093722.1	B.1.22	B.1.22 + B.1.2.NmC5 + B.1.22	2BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_35_B.1.22_PP093722.1
OP890366.1	B.1.17.NmC5	B.1.17.NmC5 + C.1.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_36_B.1.17.NmC5_OP890366.1
OP890376.1	B.1.17.NmC5	B.1.2.NmC5 + C.1.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_36_B.1.17.NmC5_OP890376.1
OP890408.1	B.1.17.NmC5	B.1.2.NmC5 + C.1.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_36_B.1.17.NmC5_OP890408.1
OP890410.1	B.1.17.NmC5	B.1.2.NmC5 + C.1.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_36_B.1.17.NmC5_OP890410.1
OP890412.1	B.1.17.NmC5	B.1.3.NmC1 + B.1.17.NmC5	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_36_B.1.17.NmC5_OP890412.1
OP890443.1	B.1.17.NmC5	B.1.2.NmC5 + C.1.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_36_B.1.17.NmC5_OP890443.1
OP890466.1	B.1.17.NmC5	B.1.17.NmC5 + B.1.7	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_36_B.1.17.NmC5_OP890466.1
OP890490.1	B.1.17.NmC5	B.1.17.NmC5 + B.1.11.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_36_B.1.17.NmC5_OP890490.1
OP414381.2	B.1.17.NmC5	B.1.2.NmC5 + C.1.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_36_B.1.17.NmC5_OP414381.2
OP414374.1	B.1.17.NmC5	B.1.2.NmC5 + C.1.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_36_B.1.17.NmC5_OP414374.1
ON813257.2	B.1.17.NmC5	B.1.NmC8 + B.1.2.NmC1 + B.1.NmC8	2BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_36_B.1.17.NmC5_ON813257.2
OR488002.1	B.1.17.NmC5	B.1.2.NmC5 + C.1.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_36_B.1.17.NmC5_OR488002.1
OQ348839.1	B.1.17.NmC5	B.1.17.NmC5 + C.1.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_36_B.1.17.NmC5_OQ348839.1
OP555467.1	B.1.17.NmC5	B.1.17.NmC5 + C.1.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_36_B.1.17.NmC5_OP555467.1
OP555481.1	B.1.17.NmC5	B.1.2.NmC5 + C.1.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_36_B.1.17.NmC5_OP555481.1
OP555478.1	B.1.17.NmC5	B.1.17.NmC5 + C.1.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_36_B.1.17.NmC5_OP555478.1
OP555479.1	B.1.17.NmC5	B.1.17.NmC5 + C.1.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_36_B.1.17.NmC5_OP555479.1
OP555487.1	B.1.17.NmC5	B.1.2.NmC5 + C.1.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_36_B.1.17.NmC5_OP555487.1
OP879747.1	B.1.17.NmC5	B.1.17.NmC5 + B.1.17.NmC6	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_36_B.1.17.NmC5_OP879747.1
OP245350.1	B.1.17.NmC5	B.1.17.NmC5 + C.1.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_36_B.1.17.NmC5_OP245350.1
OP245339.1	B.1.17.NmC5	B.1.2.NmC5 + C.1.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_36_B.1.17.NmC5_OP245339.1
OP879757.1	B.1.17.NmC5	B.1.2.NmC5 + C.1.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_36_B.1.17.NmC5_OP879757.1
OQ348847.1	B.1.17.NmC5	B.1.17.NmC5 + C.1.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_36_B.1.17.NmC5_OQ348847.1
OP440546.1	B.1.17.NmC5	B.1.17.NmC4 + C.1.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_36_B.1.17.NmC5_OP440546.1
OP555503.1	B.1.17.NmC5	B.1.17.NmC5 + C.1.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_36_B.1.17.NmC5_OP555503.1
OP440588.1	B.1.17.NmC5	B.1.17.NmC5 + C.1.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_36_B.1.17.NmC5_OP440588.1
OP245309.1	B.1.17.NmC5	B.1.17.NmC5 + B.1.9	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_36_B.1.17.NmC5_OP245309.1
OP245317.1	B.1.17.NmC5	B.1.2.NmC5 + C.1.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_36_B.1.17.NmC5_OP245317.1
OP245318.1	B.1.17.NmC5	B.1.17.NmC5 + C.1.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_36_B.1.17.NmC5_OP245318.1
OP580599.1	B.1.17.NmC5	B.1.17.NmC5 + B.1.17.NmC6	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_36_B.1.17.NmC5_OP580599.1
OP580604.1	B.1.17.NmC5	B.1.17.NmC4 + B.1.17.NmC5	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_36_B.1.17.NmC5_OP580604.1
OP580605.1	B.1.17.NmC5	B.1.2.NmC5 + C.1.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_36_B.1.17.NmC5_OP580605.1
OR759165.1	B.1.17.NmC5	B.1.17.NmC5 + C.1.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_36_B.1.17.NmC5_OR759165.1
OP442560.1	B.1.17.NmC5	B.1.17.NmC4 + C.1.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_36_B.1.17.NmC5_OP442560.1
OP442541.1	B.1.17.NmC5	B.1.4 + B.1.NmC10	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_36_B.1.17.NmC5_OP442541.1
OP555536.1	B.1.17.NmC5	B.1.2.NmC5 + F.6	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_36_B.1.17.NmC5_OP555536.1
OP580594.1	B.1.17.NmC5	B.1.17.NmC4 + B.1.11.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_36_B.1.17.NmC5_OP580594.1
OP539922.1	B.1.17.NmC5	B.1.17.NmC5 + C.1.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_36_B.1.17.NmC5_OP539922.1
OP580593.1	B.1.17.NmC5	B.1.17.NmC5 + B.1.11.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_36_B.1.17.NmC5_OP580593.1
OP555584.1	B.1.17.NmC5	B.1.17.NmC5 + C.1.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_36_B.1.17.NmC5_OP555584.1
OP555613.1	B.1.17.NmC5	B.1.17.NmC5 + C.1.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_36_B.1.17.NmC5_OP555613.1
OP539884.1	B.1.17.NmC5	B.1.17.NmC5 + B.1.11.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_36_B.1.17.NmC5_OP539884.1
OP555635.1	B.1.17.NmC5	B.1.17.NmC5 + C.1.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_36_B.1.17.NmC5_OP555635.1
OP555644.1	B.1.17.NmC5	B.1.14 + B.1.17.NmC5	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_36_B.1.17.NmC5_OP555644.1
OP539920.1	B.1.17.NmC5	B.1.2.NmC5 + B.1.2.NmC4	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_36_B.1.17.NmC5_OP539920.1
OP680509.1	B.1.17.NmC5	B.1.17.NmC5 + C.1.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_36_B.1.17.NmC5_OP680509.1
OP890530.1	B.1.17.NmC5	B.1.11.NmC2 + B.1.17.NmC5	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_36_B.1.17.NmC5_OP890530.1
OQ503781.1	B.1.17.NmC5	B.1.6 + C.1.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_36_B.1.17.NmC5_OQ503781.1
OP920698.1	B.1.17.NmC5	B.1.17.NmC4 + C.1.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_36_B.1.17.NmC5_OP920698.1
OQ503798.1	B.1.17.NmC5	B.1.NmC2 + F.5 + B.1.NmC2	2BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_36_B.1.17.NmC5_OQ503798.1
OQ644782.1	B.1.17.NmC5	B.1.17.NmC4 + B.1.11.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_36_B.1.17.NmC5_OQ644782.1
OQ503837.1	B.1.17.NmC5	B.1.17.NmC5 + B.1.11.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_36_B.1.17.NmC5_OQ503837.1
OQ503843.1	B.1.17.NmC5	B.1.17.NmC4 + B.1.11.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_36_B.1.17.NmC5_OQ503843.1
OQ918697.1	B.1.17.NmC5	B.1.17.NmC5 + C.1.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_36_B.1.17.NmC5_OQ918697.1
OR499955.1	B.1.17.NmC5	B.1.20.NmC1 + F.1	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_36_B.1.17.NmC5_OR499955.1
OR381834.1	B.1.17.NmC5	C.1.1 + B.1.17.NmC5 + C.1.1	2BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_36_B.1.17.NmC5_OR381834.1
PV539222.1	B.1.17.NmC5	F.2 + F.5	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_36_B.1.17.NmC5_PV539222.1
ON615424.1	B.1.1	B.1.2.NmC5 + B.1.1	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_ON615424.1
ON682263.4	B.1.1	B.1.NmC3 + B.1.8.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_ON682263.4
ON682265.4	B.1.1	B.1.NmC3 + B.1.8.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_ON682265.4
ON682267.2	B.1.1	B.1.NmC3 + B.1.8.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_ON682267.2
ON682268.3	B.1.1	B.1.NmC3 + B.1.8.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_ON682268.3
ON682269.3	B.1.1	B.1.NmC3 + B.1.8.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_ON682269.3
ON682270.2	B.1.1	B.1.NmC3 + B.1.8.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_ON682270.2
ON694339.1	B.1.1	B.1.NmC8 + B.1.8.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_ON694339.1
OQ319132.1	B.1.1	B.1.NmC5 + B.1.8.NmC1	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_OQ319132.1
OQ547751.1	B.1.1	B.1.NmC5 + B.1.8.NmC1	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_OQ547751.1
ON585030.1	B.1.1	B.1.NmC3 + A.1.NmC1	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_ON585030.1
ON808413.1	B.1.1	B.1.NmC8 + B.1.13	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_ON808413.1
ON803416.1	B.1.1	B.1.NmC3 + B.1.8.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_ON803416.1
ON803427.1	B.1.1	B.1.NmC3 + B.1.8.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_ON803427.1
ON803420.1	B.1.1	B.1.17.NmC3 + B.1.1	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_ON803420.1
ON803421.1	B.1.1	B.1.NmC3 + B.1.8.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_ON803421.1
ON803422.1	B.1.1	B.1.17.NmC3 + B.1.8.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_ON803422.1
ON803423.1	B.1.1	B.1.17.NmC3 + B.1.8.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_ON803423.1
ON803424.1	B.1.1	B.1.NmC3 + B.1.8.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_ON803424.1
ON803425.1	B.1.1	B.1.NmC3 + B.1.8.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_ON803425.1
ON803426.1	B.1.1	B.1.NmC3 + B.1.8.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_ON803426.1
ON803433.1	B.1.1	B.1.NmC3 + B.1.8.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_ON803433.1
ON803434.1	B.1.1	B.1.NmC3 + B.1.8.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_ON803434.1
ON803438.1	B.1.1	B.1.NmC3 + B.1.8.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_ON803438.1
ON803428.1	B.1.1	B.1.NmC3 + B.1.8.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_ON803428.1
ON803440.1	B.1.1	B.1.NmC3 + B.1.8.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_ON803440.1
ON755232.1	B.1.1	B.1.NmC8 + B.1.8.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_ON755232.1
ON755237.1	B.1.1	B.1.NmC3 + B.1.8.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_ON755237.1
ON755240.1	B.1.1	B.1.NmC8 + B.1.1	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_ON755240.1
ON755245.1	B.1.1	B.1.NmC3 + B.1.8.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_ON755245.1
ON755246.1	B.1.1	B.1.NmC3 + B.1.8.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_ON755246.1
ON813251.2	B.1.1	B.1.NmC8 + B.1.8.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_ON813251.2
ON813255.2	B.1.1	B.1.NmC3 + B.1.8.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_ON813255.2
ON813264.2	B.1.1	B.1.NmC8 + B.1.8.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_ON813264.2
ON813267.2	B.1.1	B.1.NmC3 + B.1.8.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_ON813267.2
ON853650.1	B.1.1	B.1.NmC8 + B.1.8.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_ON853650.1
ON853654.1	B.1.1	B.1.NmC3 + B.1.8.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_ON853654.1
ON853655.1	B.1.1	B.1.NmC8 + B.1.8.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_ON853655.1
ON853660.1	B.1.1	B.1.NmC8 + B.1.8.NmC2 + B.1.NmC8	2BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_ON853660.1
ON853662.1	B.1.1	B.1.NmC8 + B.1.1	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_ON853662.1
ON853672.1	B.1.1	B.1.NmC8 + B.1.8.NmC2 + B.1.NmC8	2BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_ON853672.1
ON853675.1	B.1.1	B.1.NmC3 + B.1.8.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_ON853675.1
ON853677.1	B.1.1	B.1.NmC8 + B.1.8.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_ON853677.1
ON853679.1	B.1.1	B.1.NmC3 + B.1.8.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_ON853679.1
OP626106.1	B.1.1	B.1.NmC8 + B.1.1	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_OP626106.1
OP689666.1	B.1.1	B.1.NmC3 + B.1.8.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_OP689666.1
OP689668.1	B.1.1	B.1.NmC8 + B.1.1	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_OP689668.1
OP715815.1	B.1.1	B.1.NmC8 + B.1.8.NmC2 + B.1.NmC8	2BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_OP715815.1
OP752114.1	B.1.1	B.1.1.NmC1 + B.1.13	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_OP752114.1
OP764614.1	B.1.1	B.1.NmC8 + B.1.8.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_OP764614.1
OP764621.1	B.1.1	B.1.NmC3 + B.1.8.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_OP764621.1
OP764622.1	B.1.1	B.1.NmC3 + B.1.8.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_OP764622.1
OP764625.1	B.1.1	B.1.NmC8 + B.1.1	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_OP764625.1
OP837336.1	B.1.1	B.1.NmC8 + B.1.8.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_OP837336.1
OQ469017.1	B.1.1	B.1.1 + B.1.5	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_OQ469017.1
OQ469131.1	B.1.1	B.1.NmC8 + B.1.7	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_OQ469131.1
OR449660.1	B.1.1	B.1.NmC6 + B.1.2.NmC3 + B.1.NmC6	2BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_OR449660.1
OR449672.1	B.1.1	B.1.NmC6 + C.1.NmC1 + B.1.NmC6	2BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_OR449672.1
ON843180.1	B.1.1	B.1.NmC3 + B.1.8.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_ON843180.1
OP414354.1	B.1.1	B.1.NmC3 + B.1.8.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_OP414354.1
OP536689.2	B.1.1	B.1.NmC4 + B.1.8.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_OP536689.2
OR146310.1	B.1.1	B.1.1 + A.1.NmC1	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_OR146310.1
OP390208.1	B.1.1	B.1.NmC8 + B.1.8.NmC1	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_OP390208.1
OP123041.1	B.1.1	B.1.1 + B.1.13	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_OP123041.1
OP626107.1	B.1.1	B.1.NmC3 + B.1.8.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_OP626107.1
OP626109.1	B.1.1	B.1.NmC3 + B.1.8.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_OP626109.1
OP626110.1	B.1.1	B.1.NmC8 + B.1.8.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_OP626110.1
OP626111.1	B.1.1	B.1.NmC8 + B.1.8.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_OP626111.1
OP626114.1	B.1.1	B.1.NmC3 + B.1.8.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_OP626114.1
OP626121.1	B.1.1	B.1.NmC3 + B.1.8.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_OP626121.1
OP626132.1	B.1.1	B.1.NmC8 + B.1.1	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_OP626132.1
OP689681.1	B.1.1	B.1.NmC3 + B.1.8.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_OP689681.1
OQ468525.1	B.1.1	B.1.2.NmC3 + B.1.7.NmC1	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_OQ468525.1
OQ468832.1	B.1.1	B.1.7 + F.3 + B.1.7	2BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_OQ468832.1
OR146326.1	B.1.1	B.1.1 + A.1.NmC1	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_OR146326.1
OP440572.1	B.1.1	B.1.1 + B.1.21 + B.1.1	2BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_OP440572.1
OQ348856.1	B.1.1	B.1.21 + B.1.1	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_OQ348856.1
OP245336.1	B.1.1	B.1.NmC3 + B.1.8.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_OP245336.1
OP440593.1	B.1.1	B.1.1.NmC1 + B.1	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_OP440593.1
OP310055.1	B.1.1	B.1.NmC4 + B.1.8.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_OP310055.1
OP536787.1	B.1.1	B.1.6 + C.1.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_OP536787.1
OP689658.1	B.1.1	B.1.NmC6 + B.1.13.NmC1 + B.1.NmC6	2BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_OP689658.1
OP894042.1	B.1.1	B.1.NmC5 + B.1.13.NmC3	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_OP894042.1
OQ320460.1	B.1.1	B.1.17.NmC3 + B.1.13.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_OQ320460.1
OR464214.1	B.1.1	B.1.17.NmC3 + B.1.8.NmC2	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_OR464214.1
OR146336.1	B.1.1	B.1.NmC3 + A.1.NmC1	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_OR146336.1
OP594194.1	B.1.1	B.1.NmC3 + B.1.14	1BP	results/recombinhunt_output/monkeypox/dist3size10/structured_reports/case_37_B.1.1_OP594194.1
